run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,average
4134.71,3044.71,3275.96,4064.58,3424.93,4016.9,3994.78,3121.3,3701.62,3527.75,3759.88,3959.95,4182.04,4526.6,2730.68,4254.2,4183.44,3499.87,4821.76,4308.57,3380.48,4340.05,4563.84,4352.74,4350.04,4381.02,3757.23,3157.25,3139.97,3435.31,3846.41
4134.71,3044.71,3275.96,4064.58,3424.93,3620.16,3994.78,3121.3,3701.62,3527.75,3398.74,3342.49,4036.76,3058.84,2730.68,4254.2,4183.44,2946.77,4439.61,3127.65,3380.48,3251.55,3033.42,4291.78,4350.04,3305.95,3757.23,3157.25,3139.97,3435.31,3551.09
4134.71,3044.71,3275.96,4064.58,3424.93,3412.51,3940.28,3121.3,3701.62,3527.75,3398.74,3342.49,3456.41,3058.84,2730.68,4254.2,4183.44,2946.77,3725.38,3127.65,3380.48,3251.55,3033.42,3189.8,3750.93,3305.95,3025.6,2976.73,3139.97,3435.31,3412.09
3337.64,3044.71,3275.96,4022.67,3424.93,3412.51,3940.28,3121.3,3701.62,3527.75,3398.74,3342.49,3456.41,3058.84,2730.68,3667.52,3414.87,2946.77,3725.38,3127.65,3380.48,3251.55,3033.42,2800.02,3750.93,3305.95,3025.6,2761.17,3139.97,3435.31,3318.77
3337.64,3044.71,3275.96,4022.67,3424.93,3412.51,3585.1,3121.3,3701.62,3527.75,3398.74,3342.49,3456.41,3058.84,2730.68,3667.52,3414.87,2946.77,3725.38,3127.65,3380.48,3251.55,3033.42,2800.02,3750.93,3305.95,3025.6,2761.17,3139.97,3435.31,3306.93
3337.64,3044.71,3275.96,4022.67,3424.93,3412.51,3585.1,3121.3,3701.62,3527.75,3100.18,3342.49,3456.41,3058.84,2730.68,2889.78,3414.87,2946.77,3725.38,3127.65,3380.48,3251.55,3033.42,2800.02,3750.93,2833.81,3025.6,2761.17,3139.97,3435.31,3255.32
3337.64,3044.71,3275.96,4022.67,3424.93,3412.51,3585.1,3121.3,3405.67,3527.75,3100.18,3342.49,3456.41,3058.84,2730.68,2889.78,3414.87,2946.77,3725.38,3127.65,3380.48,3251.55,3033.42,2800.02,3522.51,2833.81,3025.6,2761.17,3139.97,3435.31,3237.84
3337.64,3044.71,3260.45,4022.67,3424.93,3412.51,3585.1,3121.3,3405.67,3527.75,3100.18,3342.49,3456.41,3058.84,2730.68,2889.78,3414.87,2946.77,3725.38,3127.65,3380.48,2782.94,3033.42,2800.02,3522.51,2833.81,3025.6,2761.17,3139.97,3435.31,3221.7
3337.64,3044.71,3260.45,3195.88,3424.93,3412.51,3585.1,3121.3,3405.67,3230.61,3100.18,3342.49,3456.41,3058.84,2730.68,2889.78,3414.87,2946.77,3725.38,3127.65,3380.48,2782.94,3033.42,2800.02,3522.51,2833.81,3025.6,2761.17,3139.97,3435.31,3184.24
3337.64,3044.71,3260.45,3195.88,3424.93,3412.51,3585.1,3121.3,3405.67,3230.61,3100.18,3342.49,3456.41,3058.84,2730.68,2889.78,3414.87,2946.77,3218.49,3127.65,3380.48,2782.94,3033.42,2800.02,3522.51,2833.81,3025.6,2761.17,3139.97,3031.97,3153.9
