run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,average
52.0147,44.8124,31.9619,24.562,54.7437,34.4218,38.319,43.9578,42.1339,26.8434,14.5741,19.9296,42.5666,64.3389,32.4597,20.5242,11.3145,37.1961,61.8716,39.6469,11.3402,34.2585,33.9686,33.7762,66.4417,42.8542,49.9138,24.798,22.5955,16.8263,35.8322
43.5358,44.6448,29.816,24.3437,50.0561,34.4181,37.2867,43.1859,36.8237,26.6854,14.0753,19.5344,40.0657,55.4003,31.3081,17.7567,10.6746,36.5128,59.8925,36.6916,9.67203,32.6262,27.616,32.3325,61.8546,42.4914,44.8889,21.9074,20.3945,16.8026,33.4431
41.9655,41.5196,24.5256,18.2339,46.8798,33.6493,31.4591,41.4736,34.1906,24.6863,13.2778,19.4351,34.6377,53.166,25.712,15.6622,10.2237,36.1204,58.8911,32.8174,8.28957,30.2186,23.1601,28.9405,57.2156,41.5933,41.7105,17.4764,18.7046,15.3846,30.7073
41.7427,39.058,23.2357,17.5366,43.8361,31.5245,29.4111,41.3395,31.0614,23.2617,11.97,14.847,34.4192,53.0727,24.3405,15.1159,8.95034,32.9905,56.3533,31.7725,7.81754,29.5759,22.7356,27.6077,54.2883,38.046,41.4358,16.8206,18.083,13.6204,29.1957
39.7593,35.6487,22.152,16.7454,39.7012,29.8305,29.006,38.2931,26.2654,21.88,9.72883,12.6327,33.5744,49.6053,21.9541,11.5993,8.86695,30.1309,53.6622,31.2643,7.50695,22.6491,18.6908,26.9505,50.1142,31.8129,40.4118,13.5499,17.675,12.8682,26.8177
37.8222,34.1215,21.4956,14.8409,39.3902,29.6257,26.9249,35.5618,25.0858,20.6821,8.9675,11.9202,29.4962,48.8786,18.2287,8.42108,7.07104,28.7434,53.4685,26.7225,6.571,19.7887,17.9716,25.8912,47.0092,30.0826,35.0984,9.86003,15.7009,12.3791,24.9274
35.3571,33.2176,20.287,13.4072,37.179,28.3697,24.692,33.371,21.2607,16.1719,5.82849,10.1097,28.7646,46.1904,16.5438,7.33348,6.47797,27.9924,52.412,22.117,5.54182,15.9421,14.7518,23.9819,46.9452,27.1852,31.2293,9.42178,14.7621,10.8683,22.9237
32.9574,30.4613,18.936,11.9634,36.0966,24.67,24.0131,28.5327,20.5632,11.987,4.36833,8.63221,25.2896,46.025,16.0419,5.47993,5.84792,26.1107,48.8112,18.9134,4.12776,14.6306,13.6255,21.5397,45.5994,25.4864,28.5571,7.75027,14.1386,10.8484,21.0668
31.8902,23.8831,16.406,10.4677,29.2228,20.9291,23.1494,27.0781,18.4278,11.6768,3.95451,8.16561,23.8516,43.9234,14.6177,3.58401,5.66868,23.6062,40.487,18.0948,3.81383,13.7585,12.7115,16.8187,41.982,19.5815,26.7246,5.00487,10.2204,8.83528,18.6179
30.6128,22.6472,14.0832,9.23354,27.7739,19.6136,20.7525,21.2474,16.9639,9.83556,3.23791,6.81562,21.7365,42.9705,13.6281,3.345,5.66016,20.6829,37.7834,17.8192,3.40493,12.3176,12.1324,15.3043,37.6418,15.802,22.4818,4.40979,7.67525,8.52484,16.8713
