run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,average
228291,245919,228626,373179,298490,169392,65302.8,246903,174572,297500,158097,236255,244934,418628,249907,342232,333621,223933,227184,245829,187112,266783,193840,170910,307565,190084,181956,270521,302359,218396,243277
224621,233616,205321,346748,291400,150666,48502.8,240764,171196,288603,143187,204247,224057,416520,233295,310353,325203,223225,226586,186129,184074,257167,180101,163064,274779,174630,177136,257924,294842,170187,227605
209886,221271,204634,313177,283059,142875,39342.5,209255,143600,281430,107273,201402,195689,322987,227509,283062,309595,214980,217914,175117,171129,247235,179214,154924,265375,172941,163735,238055,280469,165388,211418
206969,220629,204634,309545,263128,117110,39342.5,203591,129424,254548,93404.4,189276,164512,312088,212726,271123,298133,170914,209258,174973,138314,247235,168235,140773,247231,172941,142496,236607,275376,163321,199262
189947,211199,184397,288798,253716,104031,36501,194995,117273,220011,86044.1,186244,147382,294793,161710,271108,272416,155565,186556,171800,135920,223348,138564,110564,242928,163355,119476,226509,243209,148329,182890
182041,191608,168629,257739,219533,96966.4,25424,162868,110654,218050,71985.2,149581,145010,280988,146194,271108,270930,131342,174256,152784,128250,215858,110462,103053,240627,154267,118496,210648,229233,146868,169515
179675,189463,164622,239340,187484,92295.4,25207.7,154839,87540.5,210898,69744.6,143940,144185,271421,141233,264418,267472,126400,158748,151969,112272,207107,106958,77993.5,232338,153736,113133,192876,224398,143336,161168
168084,188438,151675,232595,185727,88463.7,25191.3,154094,68362,182648,61534.4,121684,133330,250066,140842,249961,257176,98462.6,148201,133522,104736,197122,97423.4,75735,207871,118520,110631,178381,218534,127272,149209
164955,185707,148556,229993,180599,82604,21929.3,136735,56907.6,171425,53594,86948.1,116056,245428,132408,214742,246168,95101.3,132974,117837,93506.2,173741,82099.1,69041.5,166797,118410,100311,172237,207909,124202,137631
157639,180675,123013,208609,170043,63091.4,21617.2,134090,50513.9,168262,44655.2,86948.1,114264,237520,123527,198504,234222,91637.2,128174,114432,88500.6,155889,80710.7,68947.8,166535,109692,98725.9,171212,206248,116927,130494
136814,168961,121960,181555,163576,56618.7,20767.8,132963,45433.5,161581,44655.2,83514.7,99341.5,228013,111992,183633,215927,89934.1,112397,103717,88500.6,152929,73406.4,68195.7,143411,95604.8,97238.5,151022,177911,115235,120894
130828,142539,113177,171022,147530,56109.2,15541.8,125966,44484.3,150650,42678.1,79314.9,96056.5,220664,96122.9,174689,207375,80828.4,90206,103425,87535.5,130737,72389.2,67335.9,138800,92871.7,88149.2,149997,156363,108428,112727
103620,139878,106165,149563,135699,55699.8,13444,112262,38233.2,140655,37595.7,78028.6,81133.7,181976,92719.4,161295,177793,73731.3,79649.9,102343,83577.8,128940,65034.5,66970.2,135984,92871.7,83328.8,144273,153585,108428,104149
84263.8,134656,103634,143772,128957,47908.4,11292.4,92934.4,34877,122650,35591.5,72783.1,79143.8,152998,83225.7,155041,151398,73171.3,62189.9,101588,73054.9,119250,63525.6,55722.7,124745,85015.3,82367.6,131919,152275,106234,95539.6
71885.9,134646,96342.1,142273,124438,46559.6,10605.8,81124.1,33727,121363,32601.3,66146.2,77853.9,152389,78599.4,128944,141655,72287.8,58103.2,98075.1,64679.9,113730,63427.7,50275,112624,77634.7,67579.8,128741,141659,105244,89840.5
71588.3,114655,86144.2,142165,122324,29614.2,9454.93,75322.3,27115.1,111988,32601.3,59720.9,73479.2,134966,62049.6,123325,127601,69803.7,55397.5,93482.2,58138.5,109719,61477.3,39531.2,90425.9,75981.6,66176.9,128227,119186,100896,82418.6
67110,96808.2,85136.5,131158,119678,29397.9,9069.68,69985,26810.3,109074,32526.6,56810.2,57866.6,132138,60156.4,118358,127160,59743.2,53883.1,91834.1,50839.1,96328.3,58849.9,36384.8,90425.9,73387.3,60415.8,122530,116091,99346.9,77976.7
63391.9,80984.6,79554.6,117523,112092,26874.9,6979.45,67469,24368.7,102579,31300.3,52563,47651.7,127737,59300.7,103205,125714,58290.2,49134.4,88616.7,50833.7,86523.5,49256.4,33717.6,86331.4,69376.2,46065.8,118292,114883,93968.8,72486
62886.8,62669.2,69307.8,116362,100402,22528.6,6899.04,65200.5,23918.9,102084,27130.6,48411.8,42518.9,117907,53175.3,100023,108029,51605.8,41880.5,80468.6,48102.3,70165.3,48025.6,32708.6,67749.8,67415,42481.2,111897,102721,91729.2,66213.5
62151,51404.1,66596.2,112473,97506.2,20162.6,4185.95,65200.5,21603.3,84389.9,21305.9,44484.6,33910.4,103712,53028.1,89222.4,102277,47587.6,41155.4,74494.8,42973.2,65208.8,41587.5,30557.3,58237.3,60339.2,40415.8,102895,99788.4,83716.6,60752.3
60870.6,50948.7,63080.1,108490,80310.6,20162.6,3962.21,61941.1,19957.1,77761.6,19174.3,43125.7,25378.2,90875.1,42637.9,85080.7,95615.6,47023.2,38727,64052.3,34994.2,55922.6,34335.3,28874.6,56482.5,52029.5,33518.9,91155.4,90373.8,76453.3,55110.5
59348.1,46108.4,60443.9,101528,73878.1,17094.7,3761.18,58985,14628.3,74462.9,18686.9,31206.2,25304.5,76320.3,42220.3,75969.9,95378.4,37402.6,37106.6,59873.6,29458.1,55218.1,33780.7,26975.4,53986.1,49656.5,29654.7,83493.8,76296.2,64023.8,50408.4
49132.4,45052.2,55549.6,80115.2,69192.3,15067.6,3761.18,57350.5,14036.9,57986.6,17630.7,28948.3,17447.2,76210.9,37785.3,75673.8,83345.3,34699.2,33679.9,58914.2,29011.6,52791.2,26997.8,23292.2,53035.7,38523.4,26514.3,72465.1,60921.7,57400.3,45084.4
46359.3,44676.4,44364.6,73884.6,68501.3,14544.6,3308.97,51370.6,14036.9,53369.9,13548.8,27056.7,17447.2,76210.9,28533.8,74910.6,81135.1,31499.7,33515.8,49656.8,24910.7,52647.5,25665.3,17316.3,48889.5,35354.3,24848.7,69168.6,59122.8,56006.3,42062.1
43593.2,39775.4,43290.8,65219.4,56316.8,13014.9,2805.6,49241.1,13373.6,50913.3,10942.7,26126.7,14822.6,72190.2,27874.2,73168.3,80227,25908,28345,49339,23595,52325.1,18785.1,14623.7,46380.2,31881.5,24768.7,53533.6,49420.4,55827.1,38587.6
41204.9,35802.6,38195.5,63548,48761.6,9644.01,2801.18,46735.2,10649.2,49467.4,8373.8,24420,13497.6,71377.7,24654.3,72734.2,75480.3,22825.9,26099.8,45793.3,21746.9,49665.4,16094.6,12572.1,45079.5,23220.4,22587.9,47323.1,40091.9,55541.2,35533
41204.9,30577.6,36189,57183,42878.2,8216.32,2676.76,46373.3,8895.54,46360.2,6886.82,21929.2,10555.3,61472.9,17088.7,67318.1,70417.7,18233.8,23530.4,33274,18519,39241.9,15809.4,11886.7,40318.9,22708.6,22380,46604.1,39344.8,45188,31775.4
38968.9,29590.1,27843.6,49945.2,40734.6,6941.18,2075.7,43081.4,7981.83,44429.5,6043.25,21112.2,10098.5,55334,16418.4,62205.6,63131.1,18233.8,18104.6,33027.9,18400.6,32629.4,14355.3,11845.2,37308.9,21766.4,15465.4,39374.8,33956.5,41142.6,28718.2
35951.3,29590.1,25743.1,45370.8,40498.7,6244.74,1724.79,42342,7571.91,41891.7,5133.51,17854.2,6345.28,53537.1,14865.1,53727.1,61003.1,17103.8,17226.1,30852.1,12633.6,28028.9,14022.7,8866.19,34566.5,18769.3,14881.7,35056.6,32196,40078.9,26455.9
33185,22165.5,22727.6,43628.3,33735.9,5667.21,1673.88,32555.4,6966.91,38559.1,4938.41,13114.6,4024.74,52067.8,14339,44905.3,53464.8,16511.3,14501.5,26070.2,12173.3,24955.8,13446.9,7534.15,32935,17004,11489.3,31834.4,21462.7,36704,23144.7
