run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,average
33910.8,111797,4680.28,26392.4,12724.6,77099.7,80039.9,57197.3,60630.9,14221,50448.8,105062,10004,26847,8685.18,26872.5,73983.8,75841.1,67797.6,17522.2,3956.6,17236.2,48163.1,32075.3,10693,23262.3,59285.1,7371.61,46888.4,50725.5,41380.5
21809.1,104561,4403.47,18448.2,8999.35,64010.8,69658.8,47333.6,57694.7,12665.4,44586.7,101934,7523.99,25331.5,6508.31,20318.1,68815.4,55646.2,62418.9,12378,3381.32,14294.4,40252.2,29492.4,9553.96,22766.9,53855.2,5371.48,29106.9,42653.2,35525.8
16378.2,95659.3,3545.04,12491.7,8552.07,53162.3,52281.3,41718.4,50786.3,10403.8,43460.2,88160,6204.95,23708.9,4337.79,14609.9,52957.6,51971,58563.6,7987.7,1781.48,14225.5,35877.4,19022.5,8450.26,13467.2,48383.6,4283.34,22629,38195.4,30108.5
11953.1,89474.2,3250.13,9271.62,7433.41,52758.1,37203,30051.7,48086.4,8464.89,38112.5,80388.5,5964.41,21512.4,3810.96,10635.6,51805.7,34499.8,54226.8,5558.38,1410.06,10624.2,29572.2,12141.2,8332.96,13260.1,36269.7,3525.26,20121.7,27686.1,25580.2
6073.08,67085.7,2494.85,6126.84,7236.05,48041.9,27710.8,27921.9,42774.8,6725.02,25765.4,79654,3823.84,21285.6,3220.51,8398.79,46117.3,32505.7,43921.6,5265.66,660.301,6656.92,26713.8,10069.6,3751.22,9396.58,28892.9,3328.97,18455.5,19865.5,21331.4
4174.89,59710.6,2348.5,3721.89,6163.49,38936,25192.5,26604.1,42700.4,5669.03,13814.2,72985.1,3761.71,14880.6,2649.95,4211.25,37379.7,26501.1,41769,2949.6,560.164,6555.17,23505.6,6755.53,2733.16,7507.4,26072.6,2923.53,15841.4,16634,18173.7
3784.66,46149.3,2143.81,2147.56,3061.47,37470.6,23884.2,20823,32686.8,2581.9,11093.9,65177.3,3489.65,10539.8,1299.05,2661.1,34622.7,22962.1,29398.7,2948.86,550.593,6487.68,13856.3,5652.13,2376.23,5884.06,19972.3,2677.14,13617.6,11922.6,14730.8
2706.97,42560,2034.7,2031.89,2616.87,37411.6,19553.2,15679.6,26929.2,2002.33,9693.55,64334.1,3382.27,7112.25,716.5,1932.93,27466.2,14740.4,26494.3,1471.97,313.493,4538.49,8809.21,4692.02,1586.64,5345.86,13572.6,2357.83,12194.5,9273.09,12451.8
2008.74,38659.7,1769.19,1973.02,2520.43,29711.2,13310.9,13775.5,21600.1,1675.26,8720.02,53805.3,2145.66,5505.37,638.232,1184.69,27360.3,9174.09,22755.6,860.831,166.854,2478.26,5738.8,3077.55,1227.58,3830.92,9432.53,2111.69,8505.77,5954.47,10056
1283.2,38077.4,1732.05,1661.13,2290.28,20729.9,9063.3,12559.3,18397.2,792.665,7958.54,47648.5,1808.44,5080.1,447.46,1137.92,23791.4,6518.08,22502,585.736,141.598,1919.62,5311.46,1691.91,450.292,3061.12,7553.22,2084.81,5300.6,4320.1,8529.97
1133.63,36780.9,1215.21,882.329,1820.1,17186.3,7570.56,11709.5,17132.5,437.016,7860.63,39792.9,1629.86,4310.06,443.555,776.033,19979.8,5383.27,17669.5,426.168,141.598,590.446,3663.49,990.557,248.374,2416.77,6531.46,1434.48,4291.93,3930.03,7279.3
805.897,31473.6,1184.1,435.914,1032.17,16963.7,6441.68,10880.7,14437.5,298.005,4930.22,39690.7,1178.37,4027.7,345.501,474.188,18995.6,3967.55,10644.3,354.637,73.8436,488.54,1586.2,851.428,240.685,1511.87,4418.01,1303.33,3640.22,3779.23,6215.18
783.993,22977.8,1034.48,353.889,653.272,16323.9,6318.99,8814.11,8730.07,168.122,3040.72,38429.4,906.536,2899.9,201.759,249.066,18796.8,2099.97,10091,282.039,51.2889,347.969,1552.85,807.725,149.478,1058.29,3593.48,1195.82,3639.12,3090.82,5288.09
637.681,19828.5,890.007,353.889,430.821,12143.4,3726.15,8083.5,8102.3,157.85,2403.82,31117.7,600.076,2082.17,128.235,244.648,14743.5,1585.74,10032.4,68.0594,21.5983,209.125,942.479,757.348,72.8869,897.694,3339.91,1102.75,3458.18,2136.05,4343.28
427.521,16543.9,873.663,205.309,430.821,9289.61,2441.86,7873.97,6538.09,136.253,2403.82,30271.2,445.125,2000.35,48.7969,215.15,11678.8,1232.89,7473.18,57.5229,19.9713,147.591,914.925,208.166,72.8869,346.959,2645.74,914.142,2879.05,1495.85,3674.44
427.521,12039.7,682.009,205.309,335.248,7574.66,1936.25,7087.17,4208.51,49.7786,2385.4,29039.3,430.849,1442.63,20.4255,133.827,10276.3,1153.29,4821.27,42.3925,11.7672,75.4036,770.401,208.166,46.1719,262.581,2087.87,764.812,2776.17,1063.24,3078.61
427.521,8074.64,603.414,205.309,125.671,6652.08,1843.36,6394.36,3812.35,35.7871,1916.18,26144.2,430.849,1232.19,20.4255,65.4249,8741.99,641.602,3351.47,27.5753,11.7672,59.15,763.995,169.966,29.6165,167.283,1807.81,670.171,2116.31,1022.91,2585.51
427.521,6201.91,582.673,205.309,109.559,6127.87,1310.32,6306.24,3706.67,31.3024,1604.65,25295.2,417.227,710.473,13.5825,63.325,8398.88,552.464,1899.34,27.5753,11.7672,49.7022,673.763,169.966,29.6165,148.864,1533.44,581.292,1881.94,802.687,2329.17
