run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,average
140231,148039,23426.8,97412.3,147332,67719.7,127153,128056,104864,63552.8,107289,65617.8,130338,57388.8,122037,19571.1,128532,77548.8,40186.4,82032.2,115114,69812.3,142868,202633,316078,198565,47748.9,95941,135797,81409.5,109476
134069,134940,16112.8,89616.6,134319,65650.4,109464,101322,92533.3,59022.4,97798.9,64054.7,121132,49177,99168.8,19253,117624,63490.8,27520.1,68544.2,92951.1,68883.4,142607,199243,292120,171564,39500.5,78974.2,123632,68926.1,98107.2
125410,128360,14173,84211.1,117712,55232.6,108610,88287.1,78350.8,45615.6,86529.4,52577.6,113186,46642.7,92049.9,18646.5,94996.1,59710.2,23557,66124.2,86736.8,65639.4,120218,187292,272102,168717,35302.9,68868.6,118837,58860.4,89418.5
120777,128289,13590.6,70634.8,107129,37610.1,102872,66791.1,64706.4,45233.1,78259.6,43894.9,88990.9,38421.8,89697,18312.8,93671.7,56533.6,17801.6,61822.8,74350.1,57315.6,108230,168616,256788,162043,30976.3,64876.9,118809,47531.7,81152.5
114956,115079,10234.4,54493.1,103301,37224.4,80344.2,64817.2,62367.8,31657.8,76741.1,35003.8,85772.2,33517.9,89042.8,16946.9,84305.8,54606.6,14695.1,61719.7,65014.5,45639.2,87153.7,157417,234674,139848,29536.5,59244.5,101009,44749.2,73037.1
114409,93316.1,6441.74,54217.2,95457,31779.5,65694.9,61580.3,56280.8,27144.5,64399.9,30013.5,70286.5,29957.4,73777.6,15992.5,83876.4,47551.3,11497.8,53841,53860.7,43607.2,83423.8,116641,223273,116372,29529.8,46932.1,67675.3,43743.3,63752.4
95443.7,86891.6,4803.89,42631.2,65476.5,24773.9,63522.5,55899.9,41994.8,20694.6,55500.2,26957.6,65053.3,22373.5,70805.3,13019,83118.7,40879.8,11002.1,42604.2,50304.2,37201.9,79591.5,105895,213514,107376,26287.5,35298,56599.4,41062.6,56219.2
80987.8,77892.9,4053,41894.1,64588.1,20007.3,47342,50414.1,31696.6,14005.3,49748,24427.3,56746,16876.9,55871.7,9781.09,77113.5,33622,10146.1,41898,50262.2,34310.3,71792.3,104431,182449,98649,21172.5,31242.9,53023.8,27748.7,49473.1
75387.8,74922,3090.57,39181.1,64239.8,19466.1,45840.9,49603.9,31338.6,11482.5,41165.8,14352.6,50664,13911.5,53353.6,9469.93,77060.1,29600,10000.2,39966.2,47890.7,27877.3,69838.6,93779.6,176270,93694.4,21041.9,29235.8,52827.1,20605.3,46238.6
72467.6,64449.3,2801.36,38536,55632.2,15310.8,36646,45786.5,31338.6,10246.7,40065.4,11350.4,39970.4,11343.2,38164.2,8632.34,75963.5,25140.5,9764.29,37695.7,42261.9,26115.8,64392,86781.1,165228,79574.2,19150.8,23108.4,50279.6,17863.7,41535.4
60316,63809.5,2801.36,29837.1,48133.3,9673.34,31493.5,37704,29698.4,9619.06,37998.7,10146.5,33458.3,10936,32106.4,4766.72,68345.3,23721.4,7904.01,37583.4,37168.4,25506.2,61673.7,74796.8,152377,74829.4,18910.1,21005.8,41798.2,15206.1,37110.8
51967.3,59071.6,2619.58,24132.4,39730.1,8616.34,26833,35897.9,24813.6,8183.15,36636.2,8994.65,25493.5,7953.17,27754.9,3416.49,62453.8,22127.1,7483.42,34849.3,35471.3,20540.6,55795.4,71601,140203,71887,17084.2,18946.8,33694.1,11879.3,33204.3
46438.2,50782,1931.25,22880.2,34037.9,5717.09,25418.3,32496.5,22706.2,6659.73,33044.1,5620.83,20516.2,5863.64,27541.2,3278.18,58659.9,20558.9,6714.38,29345.1,33566.2,18866.7,55241.6,70708.2,126717,60858.7,13968.6,18077.6,25873.6,9170.94,29775.3
