run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,average
115.043,178.35,230.585,161.538,194.639,147.986,127.9,152.072,157.71,182.978,114.698,173.602,181.185,189.364,224.382,171.673,162.323,186.282,184.416,84.3729,166.323,163.702,202.191,151.583,101.766,110.25,158.985,139.842,188.106,179.571,162.781
108.585,176.916,223.518,159.565,183.677,143.571,126.871,150.02,145.496,174.623,112.824,171.832,179.831,182.864,222.897,164.243,161.914,177.292,184.402,78.0147,149.836,157.293,200.441,147.838,99.9856,108.437,153.51,137.946,180.7,179.494,158.148
101.544,170.546,211.648,152.496,178.254,143.478,126.288,147.722,145.027,169.56,101.501,167.532,170.574,182.197,219.094,162.142,157.73,176.071,174.058,71.0823,148.943,149.558,192.092,139.143,97.6573,105.633,145.122,136.582,179.528,173.124,153.198
99.0892,166.272,200.086,151.935,169.567,141.376,126.211,139.164,142.113,169.274,96.5162,164.34,155.882,178.802,218.459,152.593,153.732,172.805,173.232,67.975,143.006,144.877,189.451,133.122,93.4944,96.3853,143.48,135.318,170.36,154.377,148.11
95.5671,157.447,181.707,151.491,166.184,139.923,112.884,138.384,133.83,168.707,89.8738,156.74,151.584,166.844,216.078,147.326,144.751,169.692,172.913,65.2397,132.978,137.706,188.677,131.87,89.4379,95.1529,140.543,134.036,156.689,144.823,142.636
87.1056,152.916,174.599,142.723,163.16,137.909,110.302,135.899,128.264,164.486,81.2732,155.316,150.938,161.529,205.682,139.37,143.262,167.601,161.497,56.5825,130.253,129.905,176.523,129.026,88.4699,94.567,127.404,120.656,154.381,138.626,137.008
85.7028,149.167,169.872,139.119,157.695,133.908,109.412,129.797,120.99,155.043,79.0498,141.076,150.527,159.041,193.802,139.026,141.473,164.45,152.639,55.5036,128.513,125.607,172.582,128.085,83.8936,82.951,121.544,117.878,153.417,135.121,132.563
84.8602,143.937,164.919,138.892,153.343,130.504,108.915,128.878,115.989,148.57,69.765,139.907,140.153,158.741,190.424,128.263,138.673,156.695,151.572,54.2271,114.98,118.051,158.932,120.762,83.4939,79.3157,114.867,109.588,140.713,124.164,127.07
79.5261,132.285,154.741,133.29,142.497,125.559,105.048,126.862,115.079,142.469,67.68,139.1,139.077,153.619,182.006,126.691,138.572,153.371,150.868,48.0505,113.796,109.165,151.447,117.008,81.8316,70.1909,112.047,103.433,135.456,120.044,122.36
73.9328,129.421,149.282,131.109,138.152,121.671,103.183,120.498,113.446,141.697,59.3851,135.068,133.594,150.177,172.553,124.741,135.616,136.079,147.763,44.6125,112.694,105.139,151.267,110.647,81.8214,69.0469,106.11,97.0447,130.122,109.825,117.857
73.6351,124.914,141.731,123.417,134.339,113.397,100.879,113.517,97.8636,133.735,54.0319,132.058,129.14,146.691,167.217,124.549,131.187,126.608,144.979,41.5625,107.509,99.1596,146.941,108.883,81.4615,68.5874,101.388,96.2952,126.979,108.261,113.364
64.6848,121.861,140.992,114.756,129.835,110.96,98.2309,109.709,86.203,133.49,47.0351,122.598,129.131,140.887,157.456,115.519,123.325,123.303,139.911,41.2061,100.642,92.4676,144.858,105.923,77.5825,65.9768,90.7319,95.5299,124.343,107.519,108.556
55.402,119.472,133.159,111.514,124.783,110.523,98.0289,101.535,84.4443,125.155,41.9719,119.492,117.498,138.727,153.563,112.007,120.776,120.686,132.069,40.3552,98.8197,91.5422,141.434,98.0901,71.5887,57.0845,85.821,93.3922,123.226,100.174,104.078
50.3051,106.99,121.889,104.697,111.796,101.807,89.476,96.6538,78.973,116.222,40.0938,116.533,108.85,133.286,146.357,111.443,118.028,105.548,121.877,39.3473,94.7099,85.3078,135.468,94.9457,68.5776,53.8088,85.6837,88.1475,122.443,98.7737,98.268
49.7283,104.024,112.089,96.8853,109.976,97.037,80.5765,89.0302,76.4058,113.589,40.044,107.297,108.425,132.577,137.742,102.463,115.276,102.443,118.292,38.5372,93.6391,84.1176,125.996,84.7137,68.1427,50.8579,84.113,79.8969,116.94,97.8253,93.956
47.9618,97.1037,110.609,95.2933,109.524,94.7687,80.3188,87.3734,75.6226,112.365,37.8179,101.191,103.873,126.023,137.692,101.439,110.688,99.6956,112.19,38.2399,93.4296,78.9301,125.701,82.5298,67.6657,49.9098,83.1754,77.2716,110.433,88.7691,91.2535
47.0593,96.5199,107.651,90.4532,109.053,93.5634,78.2251,85.9513,74.8845,107.665,36.0041,92.1407,103.225,122.873,134.826,99.0313,103.514,97.5999,109.408,32.3266,92.1052,78.3112,119.648,80.6504,65.9524,47.9,74.1358,74.9826,107.282,85.4182,88.2787
